Clave entidad,Entidad,CVE_MUN,Municipio,Población 2015,Población 2020,Población en situación de pobreza 2010,Población en situación de pobreza 2015,Población en situación de pobreza 2020,Población con ingreso inferior a la línea de pobreza por ingresos 2010,Población con ingreso inferior a la línea de pobreza por ingresos 2015,Población con ingreso inferior a la línea de pobreza por ingresos 2020,Población con carencia por rezago educativo 2010,Población con carencia por rezago educativo 2015,Población con carencia por rezago educativo 2020,Población con carencia por acceso a los servicios de salud 2010,Población con carencia por acceso a los servicios de salud 2015,Población con carencia por acceso a los servicios de salud 2020,Población con carencia por acceso a la seguridad social 2010,Población con carencia por acceso a la seguridad social 2015,Población con carencia por acceso a la seguridad social 2020,Población con carencia por calidad y espacios de la vivienda 2010,Población con carencia por calidad y espacios de la vivienda 2015,Población con carencia por calidad y espacios de la vivienda 2020,Población con carencia por acceso a los servicios básicos en la vivienda 2010,Población con carencia por acceso a los servicios básicos en la vivienda 2015,Población con carencia por acceso a los servicios básicos en la vivienda 2020,Población con carencia por acceso a la alimentación 2010,Población con carencia por acceso a la alimentación 2015,Población con carencia por acceso a la alimentación 2020
21,Puebla,135,San Miguel Ixitlán,115,123,92.756579,99.537634,89.729508,92.756579,99.537634,89.729508,8.552632,-,-,32.236842,-,3.278689,100.0,100,99.180328,34.210526,29.032258,27.04918,82.236842,75.268817,62.295082,34.210526,24.731183,32.786885
21,Puebla,136,San Miguel Xoxtla,4443,3659,45.427693,51.303065,51.397814,66.972491,71.610283,77.054449,6.366088,5.379994,4.168531,30.273729,12.97965,20.487312,53.678071,51.766349,47.196666,8.624558,9.026456,5.602259,-,3.608917,-,9.04901,23.921708,22.721406
21,Puebla,137,San Nicolás Buenos Aires,3824,3578,81.898734,89.771512,88.33785,86.159634,91.437791,91.350325,21.940928,13.895349,16.699157,71.800281,17.063953,19.64781,91.350211,96.104651,93.261063,29.324895,18.023256,12.187709,30.942335,23.80814,28.649084,-,27.122093,39.090127
21,Puebla,138,San Nicolás de los Ranchos,n.d.,3636,84.77968,n.d.,88.733881,85.635431,n.d.,90.823318,15.562479,n.d.,9.276641,48.469472,n.d.,28.896723,97.750994,n.d.,95.160017,36.7382,n.d.,15.44712,38.579554,n.d.,35.007246,32.16605,n.d.,31.639983
21,Puebla,139,San Pablo Anicano,1177,1205,72.986652,82.173118,78.931006,75.136819,82.670968,79.893599,8.231368,5.376344,5.985037,40.266963,5.913978,10.723192,89.988877,96.55914,94.929343,33.036707,29.462366,27.182045,58.509455,70.215054,57.52286,25.472747,25.483871,34.33084
21,Puebla,140,San Pedro Cholula,38743,37830,55.413934,61.605766,58.080734,61.183541,70.008906,67.817374,12.557187,7.788747,8.235821,47.427116,21.925098,36.412523,72.059033,73.943552,67.368642,12.710845,12.743643,6.725562,41.739798,17.39016,9.714836,28.565259,21.065903,26.678966
21,Puebla,141,San Pedro Yeloixtlahuaca,1139,1088,72.814852,80.213659,73.383838,76.07528,81.861463,74.491276,10.681587,6.439024,5.785124,34.587996,8.585366,17.814509,75.788403,90.341463,93.02112,25.330621,22.926829,18.181818,65.310275,60.097561,51.698806,20.956256,19.804878,25.528007
21,Puebla,142,San Salvador el Seco,9137,9807,78.341972,84.58906,86.464914,80.856716,85.840052,90.455718,19.196133,12.974583,11.972521,60.575428,23.3243,51.280566,91.715271,95.630994,90.5989,21.692252,16.348629,10.428072,40.07771,29.694939,17.826879,24.662586,22.008692,31.332176
21,Puebla,143,San Salvador el Verde,10021,10840,75.869405,76.717988,73.57618,80.562801,81.80915,83.17564,11.862209,10.410285,11.665442,34.491309,19.669283,32.132751,88.818752,87.302202,78.235063,20.267861,13.700777,8.879847,18.933209,12.97277,13.187264,17.792815,19.321503,27.814166
21,Puebla,144,San Salvador Huixcolotla,5400,6622,81.98173,82.090149,86.500147,82.237502,82.467511,86.874563,13.122924,18.069352,18.114731,-,37.989676,68.419952,98.443863,98.625656,98.773647,43.50944,16.059151,12.709778,52.678905,28.114399,37.482834,42.226767,23.471396,23.016849
